WKT,field_1,segmentId,newSegmentId,speedLimit,frc,streetName,distance,timeSet,dateRange,harmonicAverageSpeed,medianSpeed,averageSpeed,standardDeviationSpeed,travelTimeStandardDeviation,sampleSize,averageTravelTime,medianTravelTime,travelTimeRatio
"LINESTRING (39.21913 21.61321,39.21929 21.61281,39.21961 21.61197,39.21983 21.61139,39.21996 21.61103,39.2207 21.60904)",351539,16820023091814,00005330-3800-0400-0000-000002c63fd4,100,0,طريق الحرمين,489.46,2,1,54.87,69.1,66.5,25.6,16.8,911015,32.11,25.5,1
"LINESTRING (39.22008 21.60799,39.21909 21.60765,39.21764 21.60717,39.21638 21.60675,39.21627 21.60673,39.21595 21.60664)",351544,16820022049920,00005330-3800-0400-0000-000002c63fe0,100,4,طريق الشيخ عبدالعزيز بن باز,453.27,2,1,70,80.5,78.92,17.86,17.07,247557,23.31,20.27,1
"LINESTRING (39.22089 21.60926,39.22078 21.60955,39.2203 21.61084,39.2202 21.6111,39.21987 21.61199,39.21973 21.61238,39.21958 21.61279)",351552,16820023252862,00005330-3800-0400-0000-000002c63ff8,100,0,طريق الحرمين,413.4,2,1,75.21,88,84.6,18.02,12.86,718897,19.79,16.91,1
"LINESTRING (39.22159 21.6074,39.2213 21.60819)",355987,16820037463077,81962daf-dce8-4cdc-a2cd-cfc4d8165ec7,100,0,طريق الحرمين,92.72,2,1,71.61,80,78.36,17.6,2.57,941692,4.66,4.17,1
"LINESTRING (39.22691 21.6102,39.22267 21.60884,39.22236 21.60873)",368101,16820040275343,88dc2398-53af-4a7d-a954-60c35f715a39,100,2,الشيخ عبد العزيز بن باز,498.2,2,1,76.68,86.7,84.85,18.57,17.3,198151,23.39,20.69,1
"LINESTRING (39.22101 21.60822,39.22106 21.60811)",368299,16820040371076,88f9bf1f-30b1-432d-8068-ff39ea2c1842,100,0,طريق الحرمين,13.06,2,1,60.04,65.3,67.7,20.91,0.41,1097577,0.78,0.72,1
"LINESTRING (39.22123 21.60836,39.22105 21.60886)",384444,16820037349970,92970fbc-42a0-4756-a200-160b457be3f5,100,0,طريق الحرمين,58.63,2,1,71.38,80.8,78.89,18.09,1.87,942339,2.96,2.61,1
"LINESTRING (39.2208 21.60878,39.22099 21.60828)",462467,16820037374900,c1fbf6ef-f622-445d-b8fc-e849169e7616,100,0,طريق الحرمين,59.17,2,1,57.76,64,66.42,21.81,1.88,1094832,3.69,3.33,1
"LINESTRING (39.22106 21.60811,39.22115 21.60786)",465572,16820037259492,c3d5b388-95b0-47b9-94ed-124bec5aca29,100,0,طريق الحرمين,28.92,2,1,61,65.8,68.18,20.46,0.81,1097241,1.71,1.58,1
"LINESTRING (39.22126 21.6083,39.22123 21.60836)",474161,16820040478669,c8fe9c41-a6d6-457f-a2eb-24dc60b1dea3,100,0,طريق الحرمين,7.1,2,1,70.79,80.4,78.55,18.11,0.32,945470,0.36,0.32,1
"LINESTRING (39.2213 21.60819,39.22126 21.6083)",505268,16820040478668,dc0233a9-b644-4ee4-b684-02f0b2059c4b,100,0,طريق الحرمين,12.58,2,1,70.74,80.3,78.45,18.04,0.55,945104,0.64,0.56,1
"LINESTRING (39.22099 21.60828,39.22101 21.60822)",536710,16820040371074,eee3683d-a5f3-4ce7-b3ec-2c0a59f56634,100,0,طريق الحرمين,7.17,2,1,59.67,65.2,67.56,21.12,0.23,1097529,0.43,0.4,1
